	Astrocyte	Astrocyte,Neurons	Astrocyte,Oligos	Blood	Immune	Neurons	Neurons,Cycling	Neurons,Oligos	Oligos	Vascular	dummy
Spotx38	4.826156e-10	4.825052e-10	4.8271326e-10	4.8253557e-10	4.8277954e-10	4.8258253e-10	0.019001609	4.826037e-10	0.9738936	4.827169e-10	0.0071048285
Spotx39	4.3558962e-10	0.20866777	4.3587467e-10	0.08409354	4.3581314e-10	0.17366591	4.3560372e-10	4.356868e-10	0.5248793	4.3574996e-10	0.008693473
Spotx40	0.054008584	0.1572679	0.0070977993	0.15786378	4.111131e-10	0.47674125	0.123917595	4.1129897e-10	4.111946e-10	4.1135387e-10	0.023102988
Spotx41	0.18026124	0.5298583	8.4335067e-10	0.19647942	0.028202722	0.051973324	8.4321233e-10	8.4370955e-10	8.43399e-10	8.4335067e-10	0.013225018
Spotx42	8.1608936e-10	0.027218617	8.161999e-10	8.1603646e-10	0.10044569	8.16245e-10	0.27286595	0.030119833	0.56868577	8.1605356e-10	0.00066414895
Spotx43	3.4732778e-10	0.052938234	0.025572337	3.4733774e-10	3.4743977e-10	0.20668387	0.69174504	3.474941e-10	3.476141e-10	0.01800344	0.0050570583
Spotx44	3.1354483e-10	0.046430636	3.135329e-10	3.1358371e-10	0.0037852149	0.23833758	0.0041520637	0.26510713	0.30105975	0.12936755	0.011760109
Spotx45	0.03158432	0.26877153	0.0010681979	7.7073264e-10	7.709341e-10	0.28172687	7.7074874e-10	0.23734437	0.16967173	7.706356e-10	0.009833043
Spotx46	0.08049843	0.20340443	3.7536696e-10	3.7492404e-10	3.7500844e-10	0.1605132	3.748983e-10	0.1549249	0.37887105	3.7486325e-10	0.021787975
Spotx47	0.006880729	0.10755723	0.14059195	9.488748e-10	0.01449291	0.017950837	0.56103456	9.487571e-10	9.491589e-10	0.15149176	9.490647e-10
Spotx48	1.402809e-09	1.4027768e-09	1.4027126e-09	0.25564557	0.098644696	1.4023114e-09	0.24561416	0.026407292	0.3736883	1.4020707e-09	1.4025522e-09
