"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Neurons_Cycling","log2fold_change","Auc"
"39","Gapdh","hurdle",7.33514932453034e-11,0.01187244,1.14862262,1.13675018,0.703
"167","Slc25a4","hurdle",9.87154214179004e-10,1.63292,2.371411,0.738491,0.702
"28","Eef1g","hurdle",8.65373160656247e-10,0.7810217,1.6809468,0.8999251,0.7
"5","Atp5b","hurdle",6.01538599218024e-10,0.6698399,1.534994,0.8651541,0.7
"138","Rps13","hurdle",3.60698762053604e-11,1.589267,2.761466,1.172199,0.698
"72","Nedd8","hurdle",3.90473181191116e-10,0.789814,1.632268,0.842454,0.696
"139","Rps14","hurdle",5.1580578295315e-08,3.175169,3.806697,0.631528,0.695
"53","Hsp90ab1","hurdle",1.37519443002415e-10,1.453837,2.167877,0.71404,0.695
"96","Rbx1","hurdle",2.59507968176086e-09,0.7049711,1.6322682,0.9272971,0.694
"8","Atp5f1","hurdle",5.18950237087184e-09,0.265726,1.169243,0.903517,0.693
"183","Ubb","hurdle",3.04166028061025e-09,2.290636,3.143074,0.852438,0.689
"174","Swi5","hurdle",6.68368555008913e-09,0.4793523,1.360693,0.8813407,0.689
"20","Cox7c","hurdle",6.11984228172325e-08,2.143598,2.781695,0.638097,0.689
"137","Rps12","hurdle",8.90919625141265e-09,1.023946,1.809108,0.785162,0.688
"186","Xist","hurdle",1.17248540099715e-09,1.012474,2.167877,1.155403,0.686
"99","Rpl10","hurdle",1.88126590201855e-08,2.047159,2.694287,0.647128,0.685
"123","Rpl37a","hurdle",9.23455418218466e-08,2.806171,3.486249,0.680078,0.681
"25","Dynll1","hurdle",3.0803845859344e-08,1.937228,2.708446,0.771218,0.68
"30","Eif1b","hurdle",1.13600451796525e-08,0.1338251,0.8833712,0.7495461,0.679
"64","Ndufa2","hurdle",3.58940294277797e-07,1.261181,1.852254,0.591073,0.676
"31","Eif2s2","hurdle",1.32833360371408e-08,0.01387507,1.01070367,0.9968286,0.676
"21","Cycs","hurdle",1.80106113047183e-08,0.09651511,0.94844179,0.85192668,0.676
"54","Hspa8","hurdle",6.40987645721615e-09,0.9882328,2.0505202,1.0622874,0.675
"43","Gtf2h5","hurdle",6.29214501291018e-08,-0.1082214,0.7799079,0.8881293,0.675
"131","Rpl9","hurdle",3.90344019072829e-07,2.530013,3.088185,0.558172,0.673
"85","Pkm","hurdle",6.2609463578549e-08,0.576722,1.447664,0.870942,0.673
"172","Sub1","hurdle",4.68055608675619e-07,0.9826198,1.5082668,0.525647,0.672
"66","Ndufb11","hurdle",1.54998916915941e-07,0.4231977,1.2681413,0.8449436,0.672
"2","Arf5","hurdle",2.17996022606494e-08,0.4647854,1.2293916,0.7646062,0.672
"61","Minos1","hurdle",3.23619657090318e-07,0.5982371,1.4019325,0.8036954,0.669
"133","Rplp1","hurdle",1.70937023757723e-06,2.291668,2.838587,0.546919,0.667
"41","Gnb2","hurdle",1.67136368931606e-06,0.6128448,1.1760511,0.5632063,0.667
"32","Eif3f","hurdle",2.89440868353254e-07,0.3298271,1.1760511,0.846224,0.666
"14","Cd63","hurdle",4.04598892786697e-07,0.2021609,1.0703893,0.8682284,0.665
"88","Prdx1","hurdle",2.86733003853552e-07,-0.48996,0.6193381,1.1092981,0.654
"166","Slc25a3","hurdle",8.39394291979182e-06,0.1365848,0.8152266,0.6786418,0.652
"98","Rnf187","hurdle",3.2231679042201e-06,0.06402491,0.72525384,0.66122893,0.652
"175","Tceb2","hurdle",1.66021063577789e-05,1.270005,1.795908,0.525903,0.651
"62","Mrpl33","hurdle",9.91767718758409e-07,-0.3001199,0.6490039,0.9491238,0.649
"185","Vdac2","hurdle",2.45812743531961e-06,-0.2560199,0.505026,0.7610459,0.648
"163","Sdhb","hurdle",8.07055723502861e-06,-0.1158645,0.6684475,0.784312,0.647
"23","Dctn3","hurdle",1.24283082412632e-06,-0.3341028,0.3926097,0.7267125,0.647
"121","Rpl36","hurdle",3.40302589310132e-05,1.898189,2.488165,0.589976,0.645
"67","Ndufb5","hurdle",1.5091518083239e-05,0.3022351,0.9484418,0.6462067,0.645
"177","Timm13","hurdle",9.32175398132778e-06,0.4456258,1.1064766,0.6608508,0.644
